"date","time","id","readsite"
2015-01-02,"23:43:01","*989001000312268","chivato"
2015-01-03,"00:09:41","*989001000312268","chivato"
2015-01-03,"02:13:38","*989001000312268","chivato"
2015-03-26,"22:38:15","*989001003024525","chivato"
2015-03-26,"22:40:19","*989001003024525","chivato"
2015-03-27,"04:30:15","*989001003024525","chivato"
2015-03-27,"04:43:24","*989001003024525","chivato"
2015-03-30,"05:19:31","*989001003024516","chivato"
2015-04-01,"05:02:31","*989001003024525","chivato"
2015-04-01,"05:03:44","*989001003024516","chivato"
2015-04-01,"05:05:11","*989001003024516","chivato"
2015-04-01,"05:05:18","*989001003024516","chivato"
2015-04-01,"05:09:01","*989001003024525","chivato"
2015-04-01,"05:27:30","*989001003024525","chivato"
2015-04-01,"19:34:10","*989001003024525","chivato"
2015-04-01,"19:39:52","*989001000315515","carmen"
2015-04-01,"19:43:48","*989001003024525","chivato"
2015-04-01,"19:44:09","*989001003024525","chivato"
2015-04-01,"19:56:56","*989001003024525","chivato"
2015-04-02,"05:10:31","*989001003024525","chivato"
2015-04-02,"05:12:09","*989001000315515","carmen"
2015-04-02,"05:14:14","*989001003024525","chivato"
2015-04-02,"20:16:41","*989001000315515","carmen"
2015-04-03,"04:37:25","*989001000315515","carmen"
2015-04-03,"19:27:48","*989001000315515","carmen"
2015-04-03,"19:46:54","*989001000315515","carmen"
2015-04-04,"03:17:47","*989001000315515","carmen"
2015-04-04,"19:29:15","*989001000315515","carmen"
2015-04-05,"01:21:40","*989001000315515","carmen"
2015-04-05,"19:26:57","*989001000315515","carmen"
2015-04-06,"02:42:08","*989001000315515","carmen"
2015-04-06,"19:25:41","*989001000315515","carmen"
2015-04-07,"03:24:14","*989001000315515","carmen"
2015-04-07,"19:32:02","*989001000315515","carmen"
2015-04-08,"02:19:31","*989001000315515","carmen"
2015-04-08,"19:23:43","*989001000315515","carmen"
2015-04-08,"23:15:21","*989001003024525","chivato"
2015-04-08,"23:15:42","*989001003024525","chivato"
2015-04-08,"23:22:23","*989001003024525","chivato"
2015-04-08,"23:44:17","*989001003024525","chivato"
