readsite,tagsite,distance_km
chiricahua_2_F,tucson_4_F,160.6609013
huachuca_5_F,tucson_4_F,105.7242322
silver_city_4_F,tucson_4_F,238.0898336
cdmx_1_F,tucson_4_F,1420.875802
cdmx_3_F,tucson_4_F,1437.060256
cdmx_2_F,tucson_4_F,1436.860917
azedon,tucson_4_F,909.7515197
carmen,tucson_4_F,694.947017
chivato,tucson_4_F,916.2697725
gitana,tucson_4_F,915.6449678
la_capilla,tucson_4_F,967.238697
las_cuevas,tucson_4_F,976.8153201
pinacate,tucson_4_F,259.461017
juxtlahuaca,tucson_4_F,2021.010603
navachiste,tucson_4_F,772.1236039
atoyac,tucson_4_F,1545.893776
mariana,tucson_4_F,298.8612028
organ_pipe_1_h2o,tucson_4_F,180.3644734
organ_pipe_2_h2o,tucson_4_F,195.6969273
organ_pipe_satellite,tucson_4_F,193.7299279
organ_pipe_3_h2o,tucson_4_F,178.0457568
don_panchito,tucson_4_F,1524.905404
tucson_1_F,huachuca_1_F,110.8119796
tucson_2_F,huachuca_1_F,95.57403854
tucson_3_F,huachuca_1_F,107.0180722
tucson_4_F,huachuca_1_F,111.2280098
huachuca_1_F,huachuca_1_F,0
tucson_5_F,huachuca_1_F,120.1410306
tucson_6_F,huachuca_1_F,137.5682882
coronado,huachuca_1_F,8.867098752
huachuca_2_F,huachuca_1_F,4.114855483
huachuca_3_F,huachuca_1_F,4.977395862
huachuca_4_F,huachuca_1_F,31.40998694
organ_pipe,huachuca_1_F,249.4462077
rincon,huachuca_1_F,92.58270423
big_hatchet,huachuca_1_F,174.3090495
silver_city_2_F,huachuca_1_F,246.7425025
peloncillo_1_F,huachuca_1_F,124.116807
silver_city_1_F,huachuca_1_F,240.6956427
silver_city_3_F,huachuca_1_F,239.3215479
fort_huachuca,huachuca_1_F,24.49066716
chiricahua_1_F,huachuca_1_F,105.2443818
chiricahua_2_F,huachuca_1_F,110.3212277
huachuca_5_F,huachuca_1_F,7.184064183
silver_city_4_F,huachuca_1_F,221.895374
cdmx_1_F,huachuca_1_F,1327.87621
cdmx_3_F,huachuca_1_F,1344.553608
cdmx_2_F,huachuca_1_F,1344.01646
azedon,huachuca_1_F,810.9139897
carmen,huachuca_1_F,605.4204467
chivato,huachuca_1_F,817.8303096
gitana,huachuca_1_F,817.178493
la_capilla,huachuca_1_F,866.6181731
las_cuevas,huachuca_1_F,876.3544045
pinacate,huachuca_1_F,308.9747498
juxtlahuaca,huachuca_1_F,1910.740403
navachiste,huachuca_1_F,667.0041307
atoyac,huachuca_1_F,1434.683724
mariana,huachuca_1_F,210.4414604
organ_pipe_1_h2o,huachuca_1_F,245.0019105
organ_pipe_2_h2o,huachuca_1_F,260.1718066
organ_pipe_satellite,huachuca_1_F,254.2975
organ_pipe_3_h2o,huachuca_1_F,244.4102927
don_panchito,huachuca_1_F,1414.697965
tucson_1_F,tucson_5_F,24.68860784
tucson_2_F,tucson_5_F,31.43892765
tucson_3_F,tucson_5_F,31.13780475
tucson_4_F,tucson_5_F,21.83672826
huachuca_1_F,tucson_5_F,120.1410306
tucson_5_F,tucson_5_F,0
tucson_6_F,tucson_5_F,17.68890215
coronado,tucson_5_F,124.4800953
huachuca_2_F,tucson_5_F,116.0643519
huachuca_3_F,tucson_5_F,124.4774568
huachuca_4_F,tucson_5_F,89.9151375
organ_pipe,tucson_5_F,159.6260873
rincon,tucson_5_F,35.40083813
big_hatchet,tucson_5_F,259.4104723
silver_city_2_F,tucson_5_F,275.5193343
peloncillo_1_F,tucson_5_F,205.3495331
silver_city_1_F,tucson_5_F,268.9705083
silver_city_3_F,tucson_5_F,268.6449624
fort_huachuca,tucson_5_F,96.48421334
chiricahua_1_F,tucson_5_F,163.3371903
chiricahua_2_F,tucson_5_F,180.2882013
huachuca_5_F,tucson_5_F,113.9043335
silver_city_4_F,tucson_5_F,259.900545
cdmx_1_F,tucson_5_F,1416.125271
cdmx_3_F,tucson_5_F,1432.13668
cdmx_2_F,tucson_5_F,1432.050793
azedon,tucson_5_F,907.4951154
carmen,tucson_5_F,689.7852369
chivato,tucson_5_F,913.8477303
gitana,tucson_5_F,913.234272
la_capilla,tucson_5_F,965.6756182
las_cuevas,tucson_5_F,975.1749359
pinacate,tucson_5_F,237.6610445
juxtlahuaca,tucson_5_F,2030.800941
navachiste,tucson_5_F,772.9501197
atoyac,tucson_5_F,1552.798012
mariana,tucson_5_F,295.377528
organ_pipe_1_h2o,tucson_5_F,158.564061
organ_pipe_2_h2o,tucson_5_F,173.9191987
organ_pipe_satellite,tucson_5_F,171.89688
organ_pipe_3_h2o,tucson_5_F,156.2775355
don_panchito,tucson_5_F,1529.429368
tucson_1_F,tucson_6_F,38.26469392
tucson_2_F,tucson_6_F,48.21225098
tucson_3_F,tucson_6_F,45.00859661
